location,usd_price,bedrooms,bathrooms,surface_m²,parking
Colonia Miramontes,323631.0,3,3.0,325.0,1.0
Colonia Tepeyac,976000.0,4,5.0,620.0,2.0
Castaños Sur,243000.0,4,3.0,665.0,2.0
Colonia San Ignacio,440000.0,4,3.0,400.0,0.0
Colonia 15 de Septiembre,263188.0,5,3.0,336.0,2.0
Residencial Lomas del Dorado,123480.0,3,2.0,151.0,1.0
Colonia Loma Linda Norte,300000.0,7,6.0,289.0,5.0
Lomas de Toncontin,145634.0,3,2.0,250.0,1.0
Residencial Palma Real,262950.0,3,4.0,240.0,2.0
Tegucigalpa,88660.0,4,2.0,175.0,2.0
El Hatillo,275154.0,3,2.0,290.0,5.0
Villa Elena,350000.0,3,2.0,350.0,4.0
Villa Elena,757000.0,5,6.0,2640.0,5.0
Tegucigalpa,552817.0,4,4.0,564.0,5.0
Tegucigalpa,215139.0,3,2.0,159.0,2.0
Residencial Monte Real,256223.0,4,3.0,238.0,4.0
El Sauce,295000.0,3,5.0,250.0,2.0
Residencial Las Uvas,240079.0,4,4.0,374.0,2.0
Tegucigalpa,90456.0,3,2.0,102.0,2.0
Colonia San Ignacio,1269450.0,6,6.0,516.0,5.0
Colonia Tres Caminos,400000.0,5,5.0,430.0,2.0
Barrio La Bolsa,55000.0,3,2.0,205.0,0.0
Colonia Universidad Norte,202452.0,3,2.0,374.0,2.0
Colonia Lomas del Mayab,351793.0,3,2.0,188.0,4.0
Colonia Tepeyac,812000.0,4,4.0,600.0,4.0
Colonia San Carlos,499000.0,4,3.0,483.0,3.0
Colonia Palmira,251281.0,4,3.0,335.0,3.0
Residencial Las Hadas,159793.0,3,2.0,155.0,0.0
Residencial Portal Canarias,132891.0,3,2.0,183.0,2.0
Residencial Monte Real,155747.0,3,2.0,120.0,2.0
Residencial El Sauce,900000.0,5,5.0,750.0,4.0
Residencial Las Hadas,600000.0,4,5.0,665.0,5.0
Colonia Los Angeles,695000.0,3,4.0,620.0,2.0
Residencial Roble Oeste,210000.0,3,2.0,135.0,2.0
Colonia América,1000.0,5,5.0,915.0,0.0
Residencial Las Cascadas,270000.0,3,3.0,349.0,3.0
Residencial Las Cascadas,270000.0,4,4.0,349.0,3.0
Residencial Las Cascadas,205025.0,4,3.0,174.0,2.0
Residencial Las Cascadas,1000000.0,7,6.0,1200.0,5.0
El Hatillo,466432.0,4,3.0,580.0,0.0
El Hatillo,480000.0,4,3.0,410.0,4.0
Tegucigalpa,297286.0,3,2.0,230.0,2.0
El Hatillo,1200000.0,5,5.0,800.0,0.0
El Hatillo,750000.0,4,3.0,545.0,4.0
Colonia Miraflores Sur,260000.0,3,3.0,247.0,2.0
Boulevard Morazán,339983.0,3,4.0,240.0,0.0
Colonia Lomas del Mayab,514919.0,5,4.0,410.0,0.0
Colonia 15 de Septiembre,360588.0,3,3.0,287.0,0.0
Boulevard Morazán,319378.0,4,2.0,290.0,0.0
Colonia Lomas del Mayab,472885.0,3,3.0,300.0,0.0
Colonia Ciudad Nueva,337922.0,2,3.0,644.0,0.0
Colonia Lomas del Guijarro,927225.0,4,4.0,739.0,0.0
Colonia Lomas del Guijarro,514919.0,3,3.0,400.0,0.0
Colonia Alameda,281258.0,3,3.0,390.0,0.0
Colonia El Hatillo,618150.0,3,4.0,709.0,0.0
Colonia El Hatillo,592394.0,3,3.0,527.0,0.0
Colonia Lomas del Guijarro,360588.0,3,4.0,400.0,0.0
Colonia Lomas del Mayab,649058.0,3,4.0,616.0,0.0
Colonia Lomas del Guijarro,376041.0,3,3.0,400.0,0.0
Colonia El Hatillo,669663.0,4,4.0,568.0,0.0
Colonia Lomas del Mayab,294652.0,4,3.0,385.0,0.0
Colonia Las Hadas,338952.0,3,3.0,296.0,0.0
Colonia Lomas del Mayab,291458.0,2,2.0,144.0,0.0
Colonia El Hatillo,468764.0,4,3.0,580.0,0.0
Colonia El Hatillo,618150.0,3,3.0,710.0,0.0
Colonia Lomas del Mayab,628453.0,3,2.0,350.0,0.0
Colonia Las Hadas,226655.0,3,2.0,275.0,0.0
Residencial San Ignacio,546033.0,3,3.0,365.0,0.0
Colonia Lomas del Guijarro  Sur,376041.0,3,3.0,400.0,0.0
Colonia Lomas del Guijarro  Sur,1178893.0,4,4.0,1122.0,0.0
Colonia Lomas del Mayab,345134.0,4,4.0,415.0,0.0
Colonia Lomas del Mayab,628453.0,3,2.0,850.0,0.0
Colonia Rubén Darío,473915.0,4,4.0,490.0,0.0
Colonia Lomas del Guijarro  Sur,471855.0,4,4.0,311.0,0.0
Colonia Lomas del Guijarro,566638.0,4,4.0,400.0,0.0
Colonia Lomas del Mayab,489369.0,3,3.0,455.0,0.0
Colonia Lomas del Mayab,345134.0,4,4.0,415.0,0.0
Colonia Lomas del Mayab,473914.0,3,2.0,350.0,0.0
Residencial Las Hadas,618150.0,3,3.0,480.0,0.0
Colonia El Hatillo,360588.0,3,3.0,1.0,0.0
Colonia Cerro Grande,359557.0,3,3.0,850.0,0.0
