,location,usd_price,bedrooms,bathrooms,surface_m²,parking
1,Tepeyac,976000.0,4.0,5.0,620.0,2.0
2,Castaños Sur,243000.0,4.0,3.0,665.0,2.0
3,San Ignacio,440000.0,4.0,3.0,400.0,0.0
4,15 de Septiembre,263188.0,5.0,3.0,336.0,2.0
6,Loma Linda Norte,300000.0,7.0,6.0,289.0,5.0
7,Lomas de Toncontin,145634.0,3.0,2.0,250.0,1.0
10,El Hatillo,275154.0,3.0,2.0,290.0,5.0
11,Villa Elena,350000.0,3.0,2.0,350.0,4.0
12,Villa Elena,757000.0,5.0,6.0,1180.280000000001,5.0
16,El Sauce,295000.0,3.0,5.0,250.0,2.0
17,Las Uvas,240079.0,4.0,4.0,374.0,2.0
19,San Ignacio,1269450.0,6.0,6.0,516.0,5.0
20,Tres Caminos,400000.0,5.0,5.0,430.0,2.0
21,La Bolsa,55000.0,3.0,2.0,205.0,0.0
22,Universidad Norte,202452.0,3.0,2.0,374.0,2.0
23,Lomas del Mayab,351793.0,3.0,2.0,188.0,4.0
24,Tepeyac,812000.0,4.0,4.0,600.0,4.0
26,Palmira,251281.0,4.0,3.0,335.0,3.0
27,Las Hadas,159793.0,3.0,2.0,155.0,0.0
30,El Sauce,900000.0,5.0,5.0,750.0,4.0
31,Las Hadas,600000.0,4.0,5.0,665.0,5.0
32,Los Angeles,695000.0,3.0,4.0,620.0,2.0
33,Roble Oeste,210000.0,3.0,2.0,135.0,2.0
34,Centroamérica,1000.0,5.0,5.0,915.0,0.0
39,El Hatillo,466432.0,4.0,3.0,580.0,0.0
40,El Hatillo,480000.0,4.0,3.0,410.0,4.0
42,El Hatillo,1200000.0,5.0,5.0,800.0,0.0
43,El Hatillo,750000.0,4.0,3.0,545.0,4.0
44,Miraflores Sur,260000.0,3.0,3.0,247.0,2.0
45,Boulevard Morazán,339983.0,3.0,4.0,240.0,0.0
46,Lomas del Mayab,514919.0,5.0,4.0,410.0,0.0
47,15 de Septiembre,360588.0,3.0,3.0,287.0,0.0
48,Boulevard Morazán,319378.0,4.0,2.0,290.0,0.0
49,Lomas del Mayab,472885.0,3.0,3.0,300.0,0.0
53,Alameda,281258.0,3.0,3.0,390.0,0.0
57,Lomas del Mayab,649058.0,3.0,4.0,616.0,0.0
60,Lomas del Mayab,294652.0,4.0,3.0,385.0,0.0
61,Las Hadas,338952.0,3.0,3.0,296.0,0.0
62,Lomas del Mayab,291458.0,2.0,2.0,144.0,0.0
65,Lomas del Mayab,628453.0,3.0,2.0,350.0,0.0
66,Las Hadas,226655.0,3.0,2.0,275.0,0.0
70,Lomas del Mayab,345134.0,4.0,4.0,415.0,0.0
71,Lomas del Mayab,628453.0,3.0,2.0,850.0,0.0
72,Rubén Darío,473915.0,4.0,4.0,490.0,0.0
75,Lomas del Mayab,489369.0,3.0,3.0,455.0,0.0
76,Lomas del Mayab,345134.0,4.0,4.0,415.0,0.0
77,Lomas del Mayab,473914.0,3.0,2.0,350.0,0.0
78,Las Hadas,618150.0,3.0,3.0,480.0,0.0
80,Cerro Grande,359557.0,3.0,3.0,850.0,0.0
81,Palmira,976677.0,4.0,4.0,1180.280000000001,0.0
82,Lomas del Mayab,294652.0,4.0,4.0,385.0,0.0
84,Lomas del Mayab,356818.0,4.0,4.0,397.0,0.0
86,La Reforma,315257.0,4.0,2.0,735.0,0.0
87,Lomas del Mayab,473914.0,3.0,3.0,350.0,0.0
91,La Hacienda,950000.0,4.0,4.0,700.0,4.0
