ID,title,location,price,details,specifications
ASCGI6U,VENTA DE CASA EN COLONIA MIRAMONTES, Colonia Miramontes,"
                                       $ 323,631                                                                              ","['   Habitaciones3  ', '   Baños3.5  ', '  Área325 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Estacionamiento 1  ']"
GH5NCL5,VENTA DE CASA EN RESIDENCIAL COLONIA TEPEYAC, Colonia Tepeyac,"
                                       $ 976,000                                                                              ","['   Habitaciones4  ', '   Baños5.5  ', '  Área620 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 3  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Estacionamiento 2  ']"
GZ3RDZO,VENTA DE CASA EN CASTAÑOS SUR, Castaños Sur,"
                                       $ 243,000                                                                              ","['   Habitaciones4  ', '   Baños3.5  ', '  Área665 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento 2  ']"
SX9J5M9,VENTA DE CASA EN QUINTA BELLA, Colonia San Ignacio,"
                                       $ 440,000                                                                              ","['   Habitaciones4  ', '   Baños3.5  ', '  Área400 m2 ']",['  Amueblado No  ']
V8GBXZK,VENTA DE CASAS EN COLONIA 15 DE SEPTIEMBRE, Colonia 15 de Septiembre,"
                                       $ 263,188                                                                              ","['   Habitaciones5  ', '   Baños3  ', '  Área336 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 2  ', '  Estacionamiento 2  ']"
VKV6RQQ,VENTA DE CASAS EN LOMAS DEL DORADO, Residencial Lomas del Dorado,"
                                       $ 123,480                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área151 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 1  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 2  ', '  Estacionamiento 1  ']"
2IHSCW3,CASA EN VENTA EN LOMA LINDA NORTE, Colonia Loma Linda Norte,"
                                       $ 300,000                                                                              ","['   Habitaciones7  ', '   Baños6+  ', '  Área289 m2 ']","['  Amueblado No  ', '  Cocina 2  ', '  Balcón 2  ', '  Tipo de calle Avenida  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento +5  ']"
32Y5CPL,VENTA DE CASA EN LOMAS DEL TONCONTIN, Lomas de Toncontin,"
                                       $ 145,634                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área250 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Estacionamiento 1  ']"
37ELMYQ,VENTA DE CASA EN RESIDENCIAL LOMAS DEL PINAR, Residencial Lomas del Pinar,"
                                       $ 201,929                                                                              ","['   Habitaciones3  ', '  Área300 m2 ']","['  Cocina 1  ', '  Balcón 2  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Estacionamiento +5  ']"
8KSTV22,VENTA CASA EN RESIDENCIAL PALMA REAL, Residencial Palma Real,"
                                       $ 262,950                                                                              ","['   Habitaciones3  ', '   Baños4  ', '  Área240 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Estacionamiento 2  ']"
P3PVK8K,CASA EN VENTA EN CERRO AZUL, Tegucigalpa,"
                                       $ 245,000                                                                              ","['   Habitaciones2  ', '   Baños1  ']",[]
YMH47WB,VENTA DE CASA MAS APARTAMENTO RESIDENCIAL LOMAS DEL DORADO, Tegucigalpa,"
                                       $ 88,660                                                                              ","['   Habitaciones4  ', '   Baños2  ', '  Área175 m2 ']","['  Amueblado No  ', '  Cocina 2  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 2  ', '  Estacionamiento 2  ']"
LLDUI3X,SE VENDE CASA EN EL HATILLO, El Hatillo,"
                                       $ 275,154                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área290 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 2  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento +5  ']"
OTMRFR6,VENTA DE CASA EN COLONIA CERRO GRANDE ZONA 2, Tegucigalpa,"
                                       $ 30,519                                                                              ","['   Habitaciones3  ', '   Baños2  ']","['  Orientación Amanecer  ', '  Suelo 1  ']"
Y99YNME,CASA EN VENTA RESIDENCIAL VILLA ELENA, Villa Elena,"
                                       $ 350,000                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área350 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 1  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento 4  ']"
TN959LP,CASA EN VENTA EN VILLA ELENA, Villa Elena,"
                                       $ 757,000                                                                              ","['   Habitaciones5  ', '   Baños6+  ', '  Área2640 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 3  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento +5  ']"
PYLGZ4J,VENTA DE CASA EN EL HATILLO, Tegucigalpa,"
                                       $ 552,817                                                                              ","['   Habitaciones4  ', '   Baños4  ', '  Área564 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 1  ', '  Tipo de calle Avenida  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento +5  ']"
